x,y
1,28.4028587341
2,22.3102397919
3,26.902381897
4,23.6590499878
5,21.6185703278
6,21.6164321899
7,19.2497634888
8,17.2269039154
9,17.010477066
10,17.7176189423
11,21.1607151031
12,28.3869056702
13,33.995475769
14,35.4900054932
15,32.7359542847
16,42.0592880249
17,42.2333374023
18,45.4995269775
19,57.2945251465
20,63.4866638184
21,69.2923736572
22,60.1511917114
23,57.5788116455
24,43.8169059753
25,52.4845199585
26,56.5742835999
27,71.7809524536
28,67.7197647095
29,61.6640510559
30,65.7528457642
31,43.570476532
32,51.771194458
33,47.5821418762
34,44.2357139587
35,51.1788101196
36,38.3507156372
37,37.2640457153
38,30.8483314514
39,21.553812027
40,22.5895233154
41,22.9869041443
42,26.0669059753
43,28.9461956024
44,32.1226158142
45,34.4902381897
46,28.8538093567
