x,y
0,0.5
1,0.5782172325
2,0.6545084972
3,0.7269952499
4,0.7938926261
5,0.8535533906
6,0.9045084972
7,0.9455032621
8,0.9755282581
9,0.9938441703
10,1
11,0.9938441703
12,0.9755282581
13,0.9455032621
14,0.9045084972
15,0.8535533906
16,0.7938926261
17,0.7269952499
18,0.6545084972
19,0.5782172325
20,0.5
21,0.4217827675
22,0.3454915028
23,0.2730047501
24,0.2061073739
25,0.1464466094
26,0.0954915028
27,0.0544967379
28,0.0244717419
29,0.0061558297
30,0
31,0.0061558297
32,0.0244717419
33,0.0544967379
34,0.0954915028
35,0.1464466094
36,0.2061073739
37,0.2730047501
38,0.3454915028
39,0.4217827675
40,0.5
41,0.5782172325
42,0.6545084972
43,0.7269952499
44,0.7938926261
45,0.8535533906
46,0.9045084972
47,0.9455032621
48,0.9755282581
49,0.9938441703
50,1
51,0.9938441703
52,0.9755282581
53,0.9455032621
54,0.9045084972
55,0.8535533906
56,0.7938926261
57,0.7269952499
58,0.6545084972
59,0.5782172325
60,0.5
61,0.4217827675
62,0.3454915028
63,0.2730047501
64,0.2061073739
65,0.1464466094
66,0.0954915028
67,0.0544967379
68,0.0244717419
69,0.0061558297
70,0
71,0.0061558297
72,0.0244717419
73,0.0544967379
74,0.0954915028
75,0.1464466094
76,0.2061073739
77,0.2730047501
78,0.3454915028
79,0.4217827675
80,0.5
81,0.5782172325
82,0.6545084972
83,0.7269952499
84,0.7938926261
85,0.8535533906
86,0.9045084972
87,0.9455032621
88,0.9755282581
89,0.9938441703
90,1
91,0.9938441703
92,0.9755282581
93,0.9455032621
94,0.9045084972
95,0.8535533906
96,0.7938926261
97,0.7269952499
98,0.6545084972
99,0.5782172325
100,0.5
101,0.4217827675
102,0.3454915028
103,0.2730047501
104,0.2061073739
105,0.1464466094
106,0.0954915028
107,0.0544967379
108,0.0244717419
109,0.0061558297
110,0
111,0.0061558297
112,0.0244717419
113,0.0544967379
114,0.0954915028
115,0.1464466094
116,0.2061073739
117,0.2730047501
118,0.3454915028
119,0.4217827675
120,0.5
121,0.5782172325
122,0.6545084972
123,0.7269952499
124,0.7938926261
125,0.8535533906
126,0.9045084972
127,0.9455032621
128,0.9755282581
129,0.9938441703
130,1
131,0.9938441703
132,0.9755282581
133,0.9455032621
134,0.9045084972
135,0.8535533906
136,0.7938926261
137,0.7269952499
138,0.6545084972
139,0.5782172325
140,0.5
141,0.4217827675
142,0.3454915028
143,0.2730047501
144,0.2061073739
145,0.1464466094
146,0.0954915028
147,0.0544967379
148,0.0244717419
149,0.0061558297
150,0
151,0.0061558297
152,0.0244717419
153,0.0544967379
154,0.0954915028
155,0.1464466094
156,0.2061073739
157,0.2730047501
158,0.3454915028
159,0.4217827675
160,0.5
161,0.5782172325
162,0.6545084972
163,0.7269952499
164,0.7938926261
165,0.8535533906
166,0.9045084972
167,0.9455032621
168,0.9755282581
169,0.9938441703
170,1
171,0.9938441703
172,0.9755282581
173,0.9455032621
174,0.9045084972
175,0.8535533906
176,0.7938926261
177,0.7269952499
178,0.6545084972
179,0.5782172325
180,0.5
181,0.4217827675
182,0.3454915028
183,0.2730047501
184,0.2061073739
185,0.1464466094
186,0.0954915028
187,0.0544967379
188,0.0244717419
189,0.0061558297
190,0
191,0.0061558297
192,0.0244717419
193,0.0544967379
194,0.0954915028
195,0.1464466094
196,0.2061073739
197,0.2730047501
198,0.3454915028
