x,y
0,0.7971198832
1,0.473041035
2,1.7116671119
3,1.4888613349
4,0.8819233726
5,1.152907714
6,1.59315932
7,1.4441096188
8,0.3308606458
9,0.2499317306
10,1.1858589247
11,0.3903247784
12,0.2004208119
13,1.5089551684
14,0.984223712
15,0.9565332499
16,1.3843868777
17,0.3267135196
18,1.6542510655
19,0.9481826188
20,0.8705346339
20.0526315789,1.537475211
20.1052631579,1.3900537712
20.1578947368,2.6137283446
20.2105263158,2.5489029953
20.2631578947,2.789373087
20.3157894737,3.7536945666
20.3684210526,4.0817781971
20.4210526316,5.5742334183
20.4736842105,5.9694347703
20.5263157895,5.7523703963
20.5789473684,5.5604631316
20.6315789474,7.0874188773
20.6842105263,7.8303743525
20.7368421053,7.99467843
20.7894736842,7.1937643511
20.8421052632,9.3938244468
20.8947368421,9.322641176
20.9473684211,10.0742847896
21,10.2489921391
22,10
23,9.1620025043
23.0526315789,9.3482905518
23.1052631579,8.57729679
23.1578947368,8.6153353965
23.2105263158,7.7809617892
23.2631578947,7.787410283
23.3157894737,7.5646169191
23.3684210526,6.8551920216
23.4210526316,5.7363854405
23.4736842105,5.7629400179
23.5263157895,4.5634140228
23.5789473684,4.2902638522
23.6315789474,4.7178713923
23.6842105263,4.313483805
23.7368421053,3.2401514042
23.7894736842,1.9868478935
23.8421052632,2.0662063502
23.8947368421,1.6891108817
23.9473684211,2.471925444
24,0.7659748018
24,1.8560038581
25,1.8112646911
26,1.1516675886
27,1.7532102054
28,0.888833816
29,0.3885701323
30,1.2874356433
31,1.5513186388
32,0.2860119258
33,0.6182258136
34,0.1137809514
35,0.8656743801
36,1.4923952684
37,1.2472571422
38,0.3913569076
39,1.1691352491
40,1.6250273952
41,0.7987884472
42,1.1736007777
43,0.658933939
44,0.7971198832
45,0.473041035
46,1.7116671119
47,1.4888613349
48,0.8819233726
49,1.152907714
50,1.59315932
51,1.4441096188
52,0.3308606458
53,0.2499317306
54,1.1858589247
55,0.3903247784
56,0.2004208119
57,1.5089551684
58,0.984223712
59,0.9565332499
60,1.3843868777
61,0.3267135196
62,1.6542510655
63,0.9481826188
64,0.8705346339
64.0526315789,1.537475211
64.1052631579,1.3900537712
64.1578947368,2.6137283446
64.2105263158,2.5489029953
64.2631578947,2.789373087
64.3157894737,3.7536945666
64.3684210526,4.0817781971
64.4210526316,5.5742334183
64.4736842105,5.9694347703
64.5263157895,5.7523703963
64.5789473684,5.5604631316
64.6315789474,7.0874188773
64.6842105263,7.8303743525
64.7368421053,7.99467843
64.7894736842,7.1937643511
64.8421052632,9.3938244468
64.8947368421,9.322641176
64.9473684211,10.0742847896
65,10.2489921391
66,10
67,9.1620025043
67.0526315789,9.3482905518
67.1052631579,8.57729679
67.1578947368,8.6153353965
67.2105263158,7.7809617892
67.2631578947,7.787410283
67.3157894737,7.5646169191
67.3684210526,6.8551920216
67.4210526316,5.7363854405
67.4736842105,5.7629400179
67.5263157895,4.5634140228
67.5789473684,4.2902638522
67.6315789474,4.7178713923
67.6842105263,4.313483805
67.7368421053,3.2401514042
67.7894736842,1.9868478935
67.8421052632,2.0662063502
67.8947368421,1.6891108817
67.9473684211,2.471925444
68,0.7659748018
68,1.8560038581
69,1.8112646911
70,1.1516675886
71,1.7532102054
72,0.888833816
73,0.3885701323
74,1.2874356433
75,1.5513186388
76,0.2860119258
77,0.6182258136
78,0.1137809514
79,0.8656743801
80,1.4923952684
81,1.2472571422
82,0.3913569076
83,1.1691352491
84,1.6250273952
85,0.7987884472
86,1.1736007777
87,0.658933939
