x,y
0,3.0418379311
1,3.0392132652
2,3.0362978215
3,3.0330405041
4,3.0293775168
5,3.025228163
6,3.020488862
7,3.0150244355
8,3.0086550949
9,3.0011364396
10,2.9921276743
11,2.9811391056
12,2.9674413322
13,2.9498992722
14,2.9266476494
15,2.8944007669
16,2.8468176637
17,2.7700457724
18,2.6281487178
19,2.3063981634
20,1.521
21,0.7356018366
22,0.4138512822
23,0.2719542276
24,0.1951823363
25,0.1475992331
26,0.1153523506
27,0.0921007278
28,0.0745586678
29,0.0608608944
30,0.0498723257
31,0.0408635604
32,0.0333449051
33,0.0269755645
34,0.021511138
35,0.016771837
36,0.0126224832
37,0.0089594959
38,0.0057021785
39,0.0027867348
40,0.0001620689
