x,y
0,0.0035252029
1,0.0061498688
2,0.0090653125
3,0.0123226299
4,0.0159856172
5,0.020134971
6,0.024874272
7,0.0303386985
8,0.0367080391
9,0.0442266944
10,0.0532354597
11,0.0642240284
12,0.0779218018
13,0.0954638618
14,0.1187154846
15,0.1509623671
16,0.1985454703
17,0.2753173616
18,0.4172144162
19,0.7389649706
20,1.524363134
21,2.3097612974
22,2.6315118518
23,2.7734089064
24,2.8501807977
25,2.8977639009
26,2.9300107834
27,2.9532624062
28,2.9708044662
29,2.9845022396
30,2.9954908083
31,3.0044995736
32,3.0120182289
33,3.0183875695
34,3.023851996
35,3.028591297
36,3.0327406508
37,3.0364036381
38,3.0396609555
39,3.0425763992
40,3.0452010651
