x,y
0,9.8658590579
1,10.5114595242
2,10.1678768162
3,10.4730500979
4,9.3722971528
5,9.980809017
6,9.6180277527
7,9.9594491028
8,10.6093753359
9,10.9064635334
10,10.3133231187
11,10.7450748183
12,9.6682296197
13,10.6333649444
14,10.1913893724
15,10.1581726143
16,9.2972690913
17,10.7167915931
18,10.3247572859
19,9.2759730336
20,10.1568065165
21,-0.2362895126
22,0
23,-0.8874949654
24,10.1382391069
25,10.6523336968
26,9.9900180575
27,10.6261283826
28,10.7962823643
29,9.5617159057
30,9.8816161104
31,9.6147223324
32,9.3459951939
33,10.8796617418
34,10.5478460686
35,9.7722257898
36,9.1751011569
37,9.4142720522
38,10.1479431635
39,9.0617359894
40,9.8661738157
41,9.6293809166
42,10.269194061
43,9.4043985671
44,10.0773276304
45,9.7823901468
46,9.4045233229
47,10.6978115449
48,10.4638084809
49,9.3235378104
50,9.7176670727
51,10.9005815601
52,10.6479211184
53,10.08905098
54,9.3319644585
55,10.3122162911
56,10.6869596051
57,9.1147136821
58,10.186652702
59,9.7555028841
60,10.6261186263
61,10.4559070137
62,9.0486069009
63,9.980431297
