x,y
1,3.0556666851
2,3.0698668957
3,3.1644668579
4,3.3725998402
5,3.2070331573
6,3.1833667755
7,3.301666975
8,3.5618000031
9,3.6989667416
10,3.8408668041
11,4.0158667564
12,3.9260332584
13,4.0443000793
14,3.9875333309
15,4.2381997108
16,4.3659000397
17,4.1814332008
18,3.8976333141
19,3.2637665272
20,2.6961667538
21,2.5448000431
22,2.5542666912
23,2.7571334839
24,3.2243998051
25,3.5919332504
26,3.8068332672
27,3.8157331944
28,4.2922997475
29,4.1458001137
30,3.926766634
31,3.8463332653
32,3.8259000778
33,4.8023667336
34,4.8687663078
35,4.6966667175
36,4.9071998596
37,5.0497665405
38,5.4093666077
39,5.8171334267
40,5.8349666595
41,5.3819999695
42,5.0645661354
43,5.0395998955
44,4.9254670143
45,5.1073665619
46,5.317800045
